entryType,inscriptionId,collectionSlug,collectionName,artworkName,timestamp,saleType,priceBTC,priceUSDOriginal,source,originalSaleType,dateLabel,bundleType,bundleLabel,bundleCount,unitPriceBTC,aggregateSalesCount
inscription-sale,949e13282c42f7d3c22b195f8ed352e58d850463cc80fc317d4e26f89fbfde8di0,cypherville,Cypherville,Creature #2,2023-02-07 19:24:20 UTC,primary,0.069,,manual-private,otc-primary,,,,,,
inscription-sale,edf7e45a13db09701fe8c5a252acbb1fbefb654f14f177664644687110387516i0,cypherville,Cypherville,Creature #3,2023-02-08 06:38:28 UTC,primary,0.069,,manual-private,otc-primary,,,,,,
inscription-sale,35fa6db05daa39a9f5dba0a63ef950000c07e69d3380a97b0ccc481ae8df51cfi0,cypherville,Cypherville,Creature #4,2023-02-08 06:38:28 UTC,primary,0.069,,manual-private,otc-primary,,,,,,
inscription-sale,ae969cf4bd715be40b694a8f01902b936ed5b9d23f90b38e45810c02f113aa0bi0,cypherville,Cypherville,Creature #5,2023-02-09 06:27:55 UTC,primary,0.069,,manual-private,otc-primary,,,,,,
inscription-sale,8f4f5f7827977e6d0fb8fd384670701599cf439135c7f3f7a07667a70b16f2abi0,cypherville,Cypherville,Creature #6,2023-02-09 10:39:47 UTC,primary,0.069,,manual-private,otc-primary,,,,,,
inscription-sale,0c57ce6325d8da6242488d453c13bac0e1e1eaca6a5b3bf4078a6bdd6768d49di0,cypherville,Cypherville,Creature #7,2023-02-10 01:32:15 UTC,primary,0.069,,manual-private,otc-primary,,,,,,
inscription-sale,eda8122bb70e35335e252a7a320d3f2ad1653e293298a806a8e2df71c2f2a7d2i0,cypherville,Cypherville,Creature #8,2023-02-11 07:33:26 UTC,primary,0.069,,manual-private,otc-primary,,,,,,
inscription-sale,405d0c4be0ca62bb65c9fb470595d95a8036fb2257d7903c7422427f42f06e5ei0,cypherville,Cypherville,Creature #9,2023-02-12 03:53:07 UTC,primary,0.069,,manual-private,otc-primary,,,,,,
inscription-sale,05e58cf4b447942560606ac31b7c44013ead8f1f615e614a307123f1032021f3i0,cypherville,Cypherville,Creature #10,2023-02-12 03:55:12 UTC,primary,0.069,,manual-private,otc-primary,,,,,,
inscription-sale,5da02864211605cc47156ed337e01cbce9ac36d97c54a724a59ae4e7d297d518i0,cypherville,Cypherville,Creature #13,2023-02-17 23:29:09 UTC,primary,0.069,,manual-private,otc-primary,,,,,,
inscription-sale,53660bcf549feefd28936cfa9ed54288b9ca6cceff12e51e6d556df0f874e490i0,cypherville,Cypherville,Creature #12,2023-02-17 23:29:09 UTC,primary,0.069,,manual-private,otc-primary,,,,,,
inscription-sale,30bfeebc94756ad748c3860c904e30bdf2e86d3e9083c909b60df2d62f7d18a7i0,cypherville,Cypherville,Creature #14,2023-02-19 04:01:59 UTC,primary,0.069,,manual-private,otc-primary,,,,,,
inscription-sale,782c27fc1a975565fdfcd3f457b8950d28840da448026bd82b7cef3f55d88204i0,portrait-2490,Portrait 2490,Clipper,2023-03-01 13:33:35 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,a73742f18e37f86a3d65bf28f441bac41007ee108118fc484f0db54b3b75a515i0,portrait-2490,Portrait 2490,Bones,2023-03-01 13:36:17 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,b2960f04c01a27a4a9cf4fa7861ed69088bd8074bb9edbee89e6e3ebc466d326i0,portrait-2490,Portrait 2490,Bill,2023-03-01 13:55:44 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,e9d2ba7b5fb4643d80c906352d7e100c59ee70032bd35851261fe922c504df37i0,portrait-2490,Portrait 2490,Bentleyem,2023-03-01 14:52:05 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,c2934202d0396b38aadfd08fcf19633319311cd3badf77b41477b5a7d6c96048i0,portrait-2490,Portrait 2490,Claire-Rose,2023-03-01 14:52:49 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,11d22870ea9115d9ff2fb3f99e977cfbb351dfbbef6250d434fbbb2eb76fc939i0,portrait-2490,Portrait 2490,Beta,2023-03-01 14:52:49 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,6907ae499c5c424a2ea6845d3c27fd52dbf869889dca4cbb2e6de9d44df6fa69i0,portrait-2490,Portrait 2490,Blondish,2023-03-01 15:12:06 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,447bdf1930863a8e4a60edf7bf500a849c496022285770663ef8451fee25dd67i0,portrait-2490,Portrait 2490,Arthur,2023-03-01 15:12:06 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,18324e2c186cf99b14bfe5ec7de3055449b16d3e998fef37200e2d4bd7af456fi0,portrait-2490,Portrait 2490,Chancellor,2023-03-01 16:29:35 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,5ba623575325e3789fb97941286cb656f7992b1d91b57ec1511036eceaa09371i0,portrait-2490,Portrait 2490,Begorban,2023-03-01 16:29:35 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,35ceb2520c0fc28c82a375cfe874629f288a0f695c97c005a96ae052651c1f77i0,portrait-2490,Portrait 2490,Balie,2023-03-01 16:29:35 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,7e7b330359ef8bdf8eb226ebe3560c2085071871ea2fee96aa9282e48f62388fi0,portrait-2490,Portrait 2490,Berny,2023-03-01 16:44:04 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,ca9b7d92522c594ff79ecf174db6444aad28b6d1886620f485caec04f1ee0795i0,portrait-2490,Portrait 2490,Baka,2023-03-01 16:44:04 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,0fa3c365fdd8e9a2a507de316b7f320b5076f329b44e78c8867f5563ebff5b89i0,portrait-2490,Portrait 2490,Caster,2023-03-01 16:44:04 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,209b029aeba0cc736e1ee0f83ba69821c3a463e748c1a90d31337d6419ec7195i0,portrait-2490,Portrait 2490,Clay,2023-03-01 16:44:04 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,e9a73604c6fa8258d2b4c9e6c1a5892ee459fc081f591d32a4dabdfc27685688i0,portrait-2490,Portrait 2490,Daisy,2023-03-01 19:37:50 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,95b2e23f3631d4b18aaab0eb7d91236b01747a4cac3edce0f7dd79d62a1a9122i0,portrait-2490,Portrait 2490,Ebenar,2023-03-01 23:39:12 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,72904b1d01b347e398b77ff3ca225a0e085552ec1bb7dc6529498b085527e02bi0,portrait-2490,Portrait 2490,Daz,2023-03-02 00:12:19 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,e592cdfb569289b6d287b573c442ef6a37b345d88446168abf9b327c44f4038bi0,portrait-2490,Portrait 2490,Disco,2023-03-02 00:51:30 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,112dc0b47b04b858f0f9dbfad45e6c4ed15688b0aaab03a8d9b8a19e7df2348ci0,portrait-2490,Portrait 2490,Dre,2023-03-02 00:51:30 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,0a16d33462675914ba5cf880b2812be2a7259fe06dab9944f9966ba9024b7494i0,portrait-2490,Portrait 2490,Dandy,2023-03-02 00:54:08 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,095043fdff1b93055e00d26297d43ec320437caa1f4b35ab7df1da4d93fc21b2i0,portrait-2490,Portrait 2490,Brut,2023-03-02 02:26:25 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,3134d0e16962cacd94adb277c5564360e9f1f8fe212bdf10a1e1eb4c3beb8e01i0,portrait-2490,Portrait 2490,Funke,2023-03-02 03:06:07 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,c92c9244d6a5d13f591b24d9c1178cb1cd2da086cd01231e0fc26cfa71a77c82i0,portrait-2490,Portrait 2490,George,2023-03-02 03:17:12 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,a231ce58d1a10253645c3b7b6e3dde9f4d913a0cb7d881026cb58d37cf1e9ec1i0,portrait-2490,Portrait 2490,DJ,2023-03-02 03:23:31 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,4cc5b164da25ebe9b2837cb4330b39519f6b5c80ebc40d908a56aa61c64dfd26i0,portrait-2490,Portrait 2490,Girla,2023-03-02 12:44:38 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,51a0a31aba13323b16c3c8532621b15ee852f3c07c78a6253cf429112887cfb1i0,portrait-2490,Portrait 2490,Henri,2023-03-02 13:02:12 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,87a923ac2114f0331cf75c65a5085baeda31993413d7d1b61a3f4ce7f73345cci0,portrait-2490,Portrait 2490,Fax,2023-03-02 13:11:15 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,bab84d314540a457560ebc8c948955533294fb57b18e05dc5bd1a0b029fc25cci0,portrait-2490,Portrait 2490,Dangeling,2023-03-02 13:11:15 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,e1e7109a61ab95464175f0b077455eea370d211fd9e76e9c5bdc4d7f19fd37c9i0,portrait-2490,Portrait 2490,Cuto,2023-03-02 13:11:15 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,596cedeb22f922ab92066a1536da0031e140e74c2d737fcaf2a626a697ae9326i0,portrait-2490,Portrait 2490,Screw,2023-03-03 04:36:01 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,d743bc362dc091ebd5ed875a405bdc634cd788dc3e6a5d8482ccda67c4f1b715i0,portrait-2490,Portrait 2490,Rusty,2023-03-03 04:36:01 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,619bdc09f9615327b06ef3792c65b117f6276c4b5e9392755304cc0732002a19i0,portrait-2490,Portrait 2490,Wassie,2023-03-03 04:36:01 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,0865b243da63f9614ae1a703e04d2dc9078ffa26dcfbbbe466909239de657d28i0,portrait-2490,Portrait 2490,Lil,2023-03-03 05:00:41 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,9bb25cd9f767f3658c7ec2049b14c7ba1af31ba590e300de4055aad527a8962bi0,portrait-2490,Portrait 2490,Naby,2023-03-03 05:00:41 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,4994bbbd19df46ff8e06556c7c62bad416834003af1f8f647beaa9096bd63233i0,portrait-2490,Portrait 2490,Screwme,2023-03-03 05:12:20 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
inscription-sale,5913f4fa292b2528c5fe3da3ed576a1add3a564cf6d90597f0b21b3bae3fb033i0,portrait-2490,Portrait 2490,Mizz,2023-03-03 05:12:20 UTC,primary,0.001,,manual-private,otc-primary,,,,,,
